,x,y,Region
12.000000023999974_225.0,12.000000023999974,225.0,midrange
12.000000023999974_300.0,12.000000023999974,300.0,midrange
36.00000007199998_125.0,36.00000007199998,125.0,midrange
36.00000007199998_150.0,36.00000007199998,150.0,midrange
36.00000007199998_175.0,36.00000007199998,175.0,midrange
36.00000007199998_200.0,36.00000007199998,200.0,midrange
60.00000011999998_0.0,60.00000011999998,0.0,midrange
60.00000011999998_50.0,60.00000011999998,50.0,midrange
60.00000011999998_100.0,60.00000011999998,100.0,midrange
60.00000011999998_125.0,60.00000011999998,125.0,midrange
60.00000011999998_150.0,60.00000011999998,150.0,midrange
60.00000011999998_175.0,60.00000011999998,175.0,midrange
60.00000011999998_200.0,60.00000011999998,200.0,midrange
84.00000016799999_0.0,84.00000016799999,0.0,midrange
84.00000016799999_25.0,84.00000016799999,25.0,midrange
84.00000016799999_75.0,84.00000016799999,75.0,midrange
84.00000016799999_125.0,84.00000016799999,125.0,midrange
84.00000016799999_150.0,84.00000016799999,150.0,midrange
84.00000016799999_175.0,84.00000016799999,175.0,midrange
84.00000016799999_200.0,84.00000016799999,200.0,midrange
108.00000021599999_25.0,108.00000021599999,25.0,midrange
108.00000021599999_50.0,108.00000021599999,50.0,midrange
108.00000021599999_75.0,108.00000021599999,75.0,midrange
108.00000021599999_125.0,108.00000021599999,125.0,midrange
108.00000021599999_150.0,108.00000021599999,150.0,midrange
108.00000021599999_175.0,108.00000021599999,175.0,midrange
108.00000021599999_200.0,108.00000021599999,200.0,midrange
132.000000264_0.0,132.000000264,0.0,midrange
132.000000264_25.0,132.000000264,25.0,midrange
132.000000264_50.0,132.000000264,50.0,midrange
132.000000264_75.0,132.000000264,75.0,midrange
132.000000264_100.0,132.000000264,100.0,midrange
132.000000264_125.0,132.000000264,125.0,midrange
132.000000264_150.0,132.000000264,150.0,midrange
132.000000264_175.0,132.000000264,175.0,midrange
156.000000312_0.0,156.000000312,0.0,midrange
156.000000312_25.0,156.000000312,25.0,midrange
156.000000312_50.0,156.000000312,50.0,midrange
156.000000312_75.0,156.000000312,75.0,midrange
156.000000312_100.0,156.000000312,100.0,midrange
156.000000312_125.0,156.000000312,125.0,midrange
156.000000312_150.0,156.000000312,150.0,midrange
180.00000036_0.0,180.00000036,0.0,midrange
180.00000036_25.0,180.00000036,25.0,midrange
180.00000036_50.0,180.00000036,50.0,midrange
180.00000036_75.0,180.00000036,75.0,midrange
204.000000408_25.0,204.000000408,25.0,midrange
204.000000408_175.0,204.000000408,175.0,midrange
-216.00000043200004_87.5,-216.00000043200004,87.5,midrange
